Sr. No,RERA ID,Developer Name,Project Name,Location,Town,Tie-up status,Create Date,Status
217,P52100017895,DS Group,Emerald,Wakad,Pune West,No,22/04/2019,Inactive
218,P52100013429,Aditi Develoeprs,Aditi Ribera,Baner,Pune West,No,22/04/2019,Sold Out
219,P52100017870,Rohan & Atul Enterprises.,Rohan Ipsita,Hinjawadi,Pune West,No,24/04/2019,Sold Out
220,P52100017014,Janki Construction,Janki Rainbow,Baner,Pune West,No,22/04/2019,Sold Out
221,P52100002449,Mont Vert Luxury Homes,Mont Vert Belbrook,Bavdhan,Pune West,No,24/04/2019,Sold Out
222,"P52100008711, P52100014285, P52100003765"," Om Developers, Krushcons Developers",Tropica ,Ravet,Pune West,No,24/04/2019,Inactive
223,P52100003782(OC Received),"Maple Group,Ravima Ventures",Ravima Feel Bliss (Phase I),Bavdhan,Pune West,No,24/04/2019,Sold Out
224,P52100012378,Geeta Vidhyai Constructions ,Geeta Vidhyai Golden Palms,Bhukum,Pune West,No,24/04/2019,Sold Out
225,P52100017619(OC Received),Prapti Group,Prapti  Estella,Wakad,Pune West,No,26/04/2019,Sold Out
226,P52100003332,Deron Properties,Deron Rise and Prosper,Rahatani,Pune West,No,24/04/2019,Sold Out
227,P52100008510,Sheth Realty,Sheth Beverly Hills,Hinjawadi,Pune West,No,26/04/2019,Sold Out
228,"P52100004814(OC Received),P52100045293",Kumar Properties,Kumar Sanctum,Pashan,Pune West,No,26/04/2019,Active
229,P52100018602,"Sri Sri Developers,  Vivanta Realty , Yashada Realty Group",Yashada Kunjban,Mamurdi,Pimpri Chinchwad,No,26/04/2019,Sold Out
230,P52100001203(OC Received),"Amar Builders , Parth Developers",Amar Serenity,Pashan,Pune West,No,26/04/2019,Sold Out
231,P52100017756,Vilas Javdekar Developers,Vilas Yashwin Encore,Wakad,Pune West,No,26/04/2019,Sold Out
232,P52100014706 (OC Received),Lohia Jain Promoters & Builders,Lohia Jain Odela,Bavdhan,Pune West,No,26/04/2019,Sold Out
233,"P52100003153,P52100018399",Jare group and Arkay Group,Jare Axisa,Ravet,Pune West,No,26/04/2019,Sold Out
234,P52100018764,Rohan Builders,Rohan Prathama,Hinjawadi,Pune West,No,26/04/2019,Sold Out
235,"P52100017797,P52100003976",DS Group,DS Atulya Nirman,Punawale,Pune West,No,29/04/2019,Active
236,P52100018498,Rathi Developer,Rathi Nova Residency,Tathawade,Pune West,No,29/04/2019,Sold Out
237,"P52100002646, P52100009640(OC Recieved), P52100007511(OC Recieved),P52100016987(OC Recieved)",Kolte Patil Developers,Kolte Patil Life Republic,Hinjawadi,Pune West,No,29/04/2019,Active
238,"P52100020469,P52100006771 (OC Received)",Adinath Developers,Adinath Sharvari Windgates,Punawale,Pune West,No,29/04/2019,Sold Out
239,P52100018594,Popular Promoters And Developers / Balaji Group,Popular Tower,Pashan,Pune West,Yes,30/04/2019,Active
240,P52100015723,Profile Properties,Profile Empyrean,Pashan,Pune West,Yes,30/04/2019,Sold Out
241,P52100016234,Kalyani developer & Varada drem homes ,Kalyani Nakshatra ,Baner,Pune West,Yes,30/04/2019,Sold Out
242,P52100015584,"Amar Builders , Landmark Developers",Amar Landmark,Pashan,Pune West,No,30/04/2019,Sold Out
243,P52100004276,Skywards Developers & Kanakraj Developers ,Skywards Riviera Valentina,Baner,Pune West,No,30/04/2019,Sold Out
244,P52100001527,"Rujuta Developers,Amit Constructions,Fortune lifespaces",Rutuja Gardenia Crest,Sus,Pune West,Yes,2/5/2019,Active
245,P52100000398,Kolte Patil Developers,Kolte Patil 24K Opula,Pimple Nilakh,Pimpri Chinchwad,No,30/04/2019,Sold Out
246,P52100017246 (OC Received),Malpani Group,Malpani Cereza,Punawale,Pune West,No,30/04/2019,Active
247,P52100017463,Malpani Group,Malpani Vivanta,Baner,Pune West,No,2/5/2019,Active
248,P52100016160,Five Star Construction Company,Five Star Royal Mystic,Rahatani,Pune West,No,2/5/2019,Sold Out
249,P52100010096,Anand Developers,Anand Rise Alta,Tathawade,Pune West,No,2/5/2019,Sold Out
250,P52100019089,Legacy Lifespaces,Legacy Crest,Punawale,Pune West,No,2/5/2019,Inactive
251,P52100000428,Kolte-patil Developers ,Kolte Patil 24k Atria,Pimple Nilakh,Pimpri Chinchwad,Yes,3/5/2019,Sold Out
252,P52100015268,Adhirath Megastructures ,Adhirath Surbhi shree,Sus,Pune West,Yes,3/5/2019,Active
253,"P52100019821,P52100028322,P52100030550",Yashada Realty Group,Yashada Epic,Pimple Nilakh,Pimpri Chinchwad,No,3/5/2019,Sold Out
254,P52100015321,Prithvi Developers,Prithvi Krupa Sindhu II,Baner,Pune West,No,3/5/2019,Sold Out
255,P52100002660,HPC Associate ,HPC Sai paradise ,Baner,Pune West,No,7/5/2019,Sold Out
256,P52100017816,Sukhwani Constructions,Sukhwani Sepia(Phase II),Tathawade,Pune West,No,3/5/2019,Sold Out
257,P52100019709,Green Axis Associate,Green Axis Blue Mount,Tathawade,Pune West,No,6/5/2019,Sold Out
258,"P52100019628(OC Recieved),P52100030017",Sonigara Homes & Bhosale Associates,Sonigara Presidency,Ravet,Pune West,No,6/5/2019,Active
259,P52100009653,Ahura Builders,Ahura Ecopolitan (Phase I),Punawale,Pune West,No,6/5/2019,Sold Out
260,P52100019736,Prasanna Developers,Prasanna Panache,Tathawade,Pune West,No,7/5/2019,Sold Out
261,P52100015575,Creative Infra Tech,Creatives Orchid,Punawale,Pune West,No,7/5/2019,Sold Out
262,P52100017975,Golecha Realty Corporation,Golecha Ethos(Pahse-2),Tathawade,Pune West,No,7/5/2019,Sold Out
263,P52100002053,Crystal Creations,Crystal Homes,Ravet,Pune West,No,7/5/2019,Sold Out
264,P52100001856 (OC Received),"Sanjeevani Developers, Six Aces Realtors Llp",Sanjeevani The Prestige Avenue,Pashan,Pune West,No,7/5/2019,Active
265,"P52100019436,P52100001240",DNV Builders,DNV Elvira,Tathawade,Pune West,No,7/5/2019,Sold Out
266,P52100013216,Four Seasons Holdings,Four Seasons Nilaya,Pashan,Pune West,No,7/5/2019,Sold Out
267,"P52100013219, P52100018941",Namrata Group & SMP Realty,Namrata Life 360 Degree,Rahatani,Pune West,No,8/5/2019,Sold Out
268,P52100017323,Kiran Creators & Developers,Kiran Shubharambh,Baner,Pune West,Yes,8/5/2019,Sold Out
269,P52100002361,Bhalerao Brothers And Associates,Bhalerao Savannah Hills,Bavdhan,Pune West,No,8/5/2019,Sold Out
270,P52100008019,Space Ventures,Space Elena,Bavdhan,Pune West,No,8/5/2019,Sold Out
271,"P52100001111,P52100001709",Utsav Shelters / Primespace Realty Group,Utsav Homes (Phase II),Bavdhan,Pune West,No,8/5/2019,Sold Out
272,P52100017167,Swarajya promoters & developers ,Swarajya Amrutwel Residency,Pashan,Pune West,No,8/5/2019,Sold Out
273,"P52100010215 , P52100010995",Kiran Creators & Developers,Kiran Shubhamkaroti ,Sus,Pune West,No,8/5/2019,Sold Out
274,P52100009220,Konda Construction,Ihita,Bavdhan,Pune West,No,8/5/2019,Inactive
275,"P52100007329 , P52100020224",Nimhan Associates,Nimhan Onella Nest 2,Sus,Pune West,No,8/5/2019,Sold Out
276,P52100017395,Trinity Green Homes,Trinity Green Hive 65,Pimple Nilakh,Pimpri Chinchwad,No,9/5/2019,Sold Out
277,P52100019098,Kiran Creators & Developers,Kiran Sparsh,Baner,Pune West,No,9/5/2019,Sold Out
278,P52100019287,Pride Realty,Pride Signum,Wakad,Pune West,No,9/5/2019,Sold Out
279,P52100001275,Kasturi ,Kasturi Apostrophe Next,Wakad,Pune West,No,9/5/2019,Sold Out
280,"P52100000703(OC Received) ,P52100024071",Kasturi ,Kasturi Epitome (Phase I),Wakad,Pune West,No,9/5/2019,Sold Out
281,"P52100005778,P52100017393",Satyam Group,Satyam Shrey,Bavdhan,Pune West,No,9/5/2019,Inactive
282,P52100000227(OC Received), Namrata Group , Namrata Eco City 2.0,Talegaon Dabhade,Pimpri Chinchwad,No,9/5/2019,Active
283,OC received,Mittal brothers ,Mittal One Nation ,Pimple Saudagar,Pimpri Chinchwad,No,9/5/2019,Sold Out
284,P52100001358,Paranjape Schemes,Paranjape Richmond Park,Rahatani,Pune West,No,10/5/2019,Sold Out
285,P52100007045,"Sanskruti & Aditya Associates, Affulence Developer ",Essencia Heights,Mahalunge,Pune West,No,10/5/2019,Inactive
286,P52100002571,"Saarrthi Group, Blue Ventures",Saarrthi Stanza,Punawale,Pune West,No,10/5/2019,Sold Out
287,"P52100018030,P52100017919, P52100031024",Shivam Development Ventures LLP,Shivam 19 Grand West,Thergaon,Pimpri Chinchwad,No,10/5/2019,Active
288,"P52100004597, P52100005122, P52100005925, P52100003345, P52100004070","Shree Balaji Group, Elite Group, Surya Spaces",Shree Metro Jazz,Mahalunge,Pune West,No,10/5/2019,Sold Out
289,"P52100002297,P52100002307",Rohan Builders,Rohan Madhuban II,Bavdhan,Pune West,No,10/5/2019,Sold Out
290,P52100003366,"Sanskruti lifespaces ,Padale Brothers , Yashoda Properties", Sanskruti Jardin,Mahalunge,Pune West,No,13/05/2019,Sold Out
291,"P52100016963(Part OC Recieved), P52100019038, P52100001569","Avior Enterprises, Majestique Landmarks, CALYX Group,",Majestique Vanalika,Pirangut,Pune West,No,13/05/2019,Active
292,"P52100015605,P52100007209,P52100004912",Axis paradigm infra properties & Deshpande developer ,Axis Paradigm Whistling Meadows ,Bavdhan ,Pune West,No,13/05/2019,Sold Out
293,P51800005127,SG and BHP Developers,SG and BHP Shivdham,Rahatani,Pune West,No,13/05/2019,Sold Out
294,P52100018846,RS Haval & UN Kamath,RS Haval Shruti Apartment (A Wing Phase 1),Baner,Pune West,No,13/05/2019,Sold Out
295,P52100003148,Yashada Realty Group & Govind Developers,Yashada Sterling Blooms,Rahatani,Pune West,No,13/05/2019,Sold Out
296,P52100020457,Yashada Realty Group,Yashada Splendid Meadows,Pimpale Saudagar,Pimpri Chinchwad,No,13/05/2019,Sold Out
297,P52100002677,Behede  Properties Llp,Behede Silver Brooke,Bavdhan,Pune West,No,13/05/2019,Sold Out
298,P52100016387,Antarkar and Joshi builders,Antarkar Aranya,bavdhan,Pune West,No,13/05/2019,Sold Out
299,"P52100002680,P52100004824",Tulip Properties,Tulip Infinity Tower,Punawale,Pune West,No,14/05/2019,Sold Out
300,P52100020686, Godrej Properties,Godrej Nurture,Mamurdi,Pimpri Chinchwad,No,14/05/2019,Active
301,"P53000007829 ,P53000006727","Pate Developers ,Sanjay Ghodawat Group",Pate Life Montage,Sus,Pune West,No,14/05/2019,Sold Out
302,P52100006921,Sanskruti lifespaces,Sanskruti Terraza ,Aundh,Pune West,No,14/05/2019,Sold Out
303,P52100020513,Mantra Properties,Mantra Grand Stand ,Kothrud,Pune Center,No,14/05/2019,Sold Out
304,P52100000485,"Naiknavare Developers , Pride Group",Naiknavare The Spires,Aundh,Pune West,No,14/05/2019,Sold Out
305,"P52100001233,P52100001213, P52100000137, P52100001525, P52100024209",Mantra Properties,Mantra Magic,Chimbli,Pimpri Chinchwad,No,14/05/2019,Sold Out
306,P52100014709,Paranjpe Schemes,Prathamesh Elite,Kothrud,Pune Center,No,14/05/2019,Inactive
307,P52100004065,"Crystal Creations , Saptagiri Developers",Crystal Corner,Chikhali,Pimpri Chinchwad,No,14/05/2019,Sold Out
308,P52100002763 (OC Received),Kumar Properties,Kumar Privie Shiloh,Shivaji nagar,Pune Center,No,15/05/2019,Sold Out
309,P52100016901,Global Group,Global Lifestyle,Hinjawadi,Pune West,No,15/05/2019,Active
310,P52100018574,Sagar developers ,Sagar Accord,Hinjawadi,Pune West,No,15/05/2019,Sold Out
311,"P52100014732(OC Received),P52100026972",Menlo Homes LLP,Menlo Homes ,Hinjawadi,Pune West,No,15/05/2019,Sold Out
312,P52100020514,"Jhamtani Group , Ace Ventures",Ace Almighty,Tathawade,Pune West,No,15/05/2019,Sold Out
313,"P52100000093,P52100017250, P52100025227",Pharande Spaces,Pharande L Axis,Moshi,Pimpri Chinchwad,No,15/05/2019,Sold Out
314,P52100001835,Renuka Constructions,Renuka Gulmohar (Phase II),Pimpri,Pimpri Chinchwad,No,15/05/2019,Active
315,"P52100020978, P52100002747",Kolte Patil Developers,Crown,Moshi,Pimpri Chinchwad,No,15/05/2019,Inactive
316,P52100002758(OC Received),Pawana Associates,Pawana Vitthal Residency,Ravet,Pune West,No,15/05/2019,Sold Out
317,"P52100000437,P52100000569",Puraniks Builders,Puraniks Abitante,Bavdhan,Pune West,No,16/05/2019,Sold Out
318,P52100015730,Achalare Realtors,Achalare Amber,Baner,Pune West,No,16/05/2019,Sold Out
319,P52100014689,Nandgude Patil Developers,Nandgude Patil The 20 Homes,Punawale,Pune West,No,16/05/2019,Sold Out
320,P52100007885,NG Rathi Group ,NG Rathi Madhupushpa,Pirangut,Pune West,No,16/05/2019,Sold Out
321,"P52100000510,P52100030113(OC Received)","J and J associates,Jhala Group",Jhala Mahalunge Riviera,Mahalunge,Pune West,No,16/05/2019,Active
322,"P52100000246,P52100015970,P52100001127",Pharande Spaces,Pharande Woodsville(Phase III),Moshi,Pimpri Chinchwad,No,16/05/2019,Sold Out
323,"P52100000196,P52100000255 ,P52100021020,P52100024312,P52100034957",Goel Ganga Group,Ganga Legand County,Bavdhan,Pune West,No,17/05/2019,Inactive
324,P52100001255(OC Received),"Amit Constructions, Rutuja Developers, Vedant associates, Fortune Lifespaces LLP",Amit Ionia,Sus,Pune West,No,17/05/2019,Active
325,P52100000875,Nexus Group,Nexus Glorious,Sus,Pune West,No,17/05/2019,Sold Out
326,P52100018712,SBM Properties ,SBM Aviva,Hinjawadi,Pune West,No,17/05/2019,Sold Out
327,OC received,Vasudha Landmarks,Vasudha Etasha,Kothrud,Pune Center,No,17/05/2019,Sold Out
328,"P52100004248 ,P52100021300",Balaji Kimaya Associates,Balaji Kimaya Manas Valley (Phase 1),Bhukum,Pune West,No,17/05/2019,Sold Out
329,P52100019726,Yashada Realty Group,Yashada Splendid Courtyard,Lohegaon,Pune East,No,17/05/2019,Sold Out
330,"P52100001796, P52100001157,P52100018530(OC received),P52100029022",Mantra Properties,Mantra Essence,Undri,Pune South,No,17/05/2019,Sold Out
331,"P52100001431 (OC Received), P52100019275,P52100034400",Goel Ganga Developers,Goel Ganga New Town,Dhanori,Pune East,No,17/05/2019,Active
332,P52100005334,Kohinoor Group,Kohinoor Falcon,Sus,Pune West,No,20/05/2019,Sold Out
333,P52100019074,Angal Group ,Angal Nakshatra,Pashan,Pune West,No,20/05/2019,Sold Out
334,P52100009637,Sigma One ,La Cabana,Sus,Pune West,No,20/05/2019,Inactive
335,P52100020681,Anand developers,Anand Alfa corner ,Baner,Pune West,No,20/05/2019,Sold Out
336,P52100020560,Asian Buildcon,Asian 512,Baner,Pune West,No,20/05/2019,Sold Out
337,P52100000889,Gera Developements PVT.LTD,Gera's Adara,Hinjawadi,Pune West,No,20/05/2019,Sold Out
338,P52100017955,Kolte Patil Developers,Kolte Patil Ivy Nia,Wagholi,Pune East,No,20/05/2019,Sold Out
339,P52100015986,Shivmalhar associates,Shivmalhar Golden Pearls,Baner,Pune West,No,20/05/2019,Sold Out
340,P52100018313,Keys infracon,Keys Skylish Avenue,Punawale,Pune West,No,20/05/2019,Sold Out
341,P52100002743,Dynamic Realty,Dynamic  Linea,Hadapsar,Pune East,No,21/05/2019,Sold Out
342,"P52100009870( OC Received), P52100011031",Gera Developements PVT.LTD,Geras Isle Royale,Bavdhan,Pune West,No,21/05/2019,Sold Out
343,P52100015699,Pride Purple Properties,Pride Purple Park Ivory (Phase 2),Wakad,Pune West,No,21/05/2019,Sold Out
344,"P52100004720,P52100028284((OC Received))",Namrata Group,Namrata Aikonic,Talegaon Dabhade,Pimpri Chinchwad,No,21/05/2019,Sold Out
345,P52100006821,Balaji Builders,Balaji Oriana Crest,Wakad,Pune West,No,21/05/2019,Sold Out
346,P52100006525,Shiv parvati developers,Shiv parvati The orchard ,Hadapsar,Pune East,No,21/05/2019,Sold Out
347,P52100001066,Kolte Patil Developers,Kolte Patil Ivy Estate,Wagholi,Pune East,No,21/05/2019,Sold Out
348,P52100018996,Kolte Patil Developers,Kolte Patil Tuscan Parkland,Kharadi,Pune East,No,21/05/2019,Sold Out
349,P52100005126(OC Received),Vedant developments,Vedant Kingston Aura,Hadapsar,Pune South,No,21/05/2019,Active
350,"P52100017005, P52100000845 (OC Received)",Rahul Constructions,Rahul Eastview (Phase 2),Hadapsar,Pune East,No,21/05/2019,Sold Out
351,P52100001632 (OC Received),Mavens Properties,Mavens Viaan,Handewadi,Pune South,No,22/05/2019,Sold Out
352,P52100010659,Panama Sunarch Developers,Panama Sunarch Silver Stone,Handewadi,Pune South,No,22/05/2019,Active
353,"P52100019616,P52100027794,P52100032600,P52100054338","Majestique Landmarks , Bhosale Group",Majestique Rhythm County ,Handewadi,Pune South,No,22/05/2019,Active
354,P52100001380,Paranjape Schemes,Paranjape Gloria Grand,Bavdhan,Pune West,No,22/05/2019,Sold Out
355,P52100000411,"Dreams Enterprises, NG Rathi Group",Dreams Elegance,Hadapsar,Pune East,No,22/05/2019,Sold Out
356,P52100000433,SV Joshi & Co Builders,SV Joshi Vishnuvihar (Phase II),Pirangut,Pune West,No,22/05/2019,Active
357,"P52100000949(OC Received),P52100033925",SKYi Developers        ,SKYi Pelican,Pirangut,Pune West,No,23/05/2019,Active
358,"P52100016824(OC Received),P52100020409(OC Received),P52100001168 (OC Received)P52100050004 ","Majestique landmarks ,Namo Developers",Majestique Memories,Mohammed Wadi,Pune South,No,23/05/2019,Active
359,P52100013409 (OC Received),Lush life ,Lushlife Impero,Handewadi ,Pune South,No,23/05/2019,Active
360,P52100001633,"G House Development Company, Amit Golande Associate",G House Emanate,Handewadi,Pune South,No,23/05/2019,Sold Out
361,P52100001416 (OC Received), IBuild Supreme Associates,IBuild Supreme Florista County,Hadapsar,Pune East,No,23/05/2019,Sold Out
362,"P52100017178,P52100000392",Kohinoor Group,Kohinoor Tinsel Town (phase II),Hinjawadi,Pune West,No,23/05/2019,Sold Out
363,P52100017871,Sankla Buildcoon,Satyam Niranjani,Hadapsar,Pune East,Yes,23/05/2019,Inactive
364,"P52100000580,P52100015620 (OC Received)",Atria construction ,Atria Grande ,Handewadi ,Pune South,No,24/05/2019,Sold Out
365,"P52100016922, P52100000562","Mantra Properties, Ganesh Bhintade Group ",Mantra parkview,Dhayari,Pune South,No,2405/2019,Sold Out
366,P52100014476,Bansal Fortune,Bansal Legacy Fortune Exotica,Ravet,Pune West,No,24/05/2019,Sold Out
367,P52100015587,Radhika Constructions ,Radhika Srinivasa,Pirangut,Pune West,No,24/05/2019,Active
368,P52100020042,Prathamesh Developers & Builders,Prathamesh Excellencia,Tathawade,Pune West,No,24/05/2019,Sold Out
369,"P52100019192, P52100019422",Avior Enterprises,Avior Aatman,Swargate,Pune Center,No,24/05/2019,Sold Out
370,"P52100018548,P52100019116",Kohinoor Group,Kohinoor Jeeva,Bibwewadi,Pune South,No,24/05/2019,Sold Out
371,P52100000170 (OC Received),"Inc Developers , Amar Builders ",Amar Westview,Koregaon Park,Pune East,No,24/05/2019,Sold Out
372,"P52100000976,P52100029549","Five Elements Properties , Bhandari Associates,Namrata Group",Five Elements Unnati,Nerhe,Pune West,No,27/05/2019,Active
373,P52100002940,Apex Multicons,Apex Ambar,Pirangut (Ambadvet),Pune West,No,27/05/2019,Active
374,P52100002296,"Kalyanee Constructions, Fortune Properties",Kalyanee Kalash,Pirangut,Pune West,No,27/05/2019,Sold Out
375,P52100001872 ,RajHeramb Properties,RajHeramb Regalia Residency,Bavdhan ,Pune West,No,27/05/2019,Sold Out
376,"P52100005175,P52100003670",Shree balaji constructions,Shree Balaji Orchard park ,Bavdhan,Pune West,No,27/05/2019,Sold Out
377,"P52100017200(OC Recieved), P52100017126 ,P52100017142",Dynamic Realty ,Dynamic Imperia Plus,Undri,Pune South,No,27/05/2019,Active
378,"P52100017109(OC Recieved),P52100000332(OC Recieved),P52100027407,P52100046281",Majestique landmarks & kamthe Group,Majestique 38 Park,Undri,Pune South,No,27/05/2019,Sold Out
379,P52100020026,"Krishnaraj Developers  , Suncon Developers",Krishnaraj Balaji Nakshatra,Pirangut,Pune West,No,27/05/2019,Sold Out
380,P52100002472,"Vision Developers, Bhandari Associates",Vision Eternity,Hinjawadi,Pune West,No,28/05/2019,Inactive
381,P52100015131,Gokhale Constructions,Gokhale Shashi Madhav,Bavdhan ,Pune West,No,28/05/2019,Sold Out
382,"P52100001931,P52100005396,P52100015682,P52100015789,P52100046251",Dynamic realty ,Dynamic Grandeur,Undri,Pune South,No,28/05/2019,Active
383,P52100006325,K K Developers,K K Arcasia,Pirangut,Pune West,No,28/05/2019,Sold Out
384,P52100020011,WH Construction ,Panchvati,Bavdhan ,Pune West,No,28/05/2019,Sold Out
385,P52100018830,Vivanta Realty & SRI SRI Developers,Nandadeep,Charholi Budruk,Pimpri Chinchwad,No,28/05/2019,Inactive
386,P52100019022,"Vivanta Realty, Yashada Realty Group ", Vivanta Life Vedika,Pimple Saudagar,Pimpri Chinchwad,No,29/05/2019,Sold Out
387,"P52100020766(OC Received),P52100031776 (OC Received)",Pride Purple Properties, Pride Purple Park Connect,Hinjawadi,Pune West,No,29/05/2019,Sold Out
388,"P52100020371,P52100000232,P52100014408",Majestique property ,Majestique Aqua,Fursungi,Pune South,No,29/05/2019,Sold Out
389,"P52100014762 ,P52100002256"," Calyx Group, Lenora, Kankariya Properties",Calyx Artemis Kiara,Anand Nagar,Pune South,No,30/05/2019,Sold Out
390,"P52100019468, P52100024108",Vilas Javdekar Developers,Vilas Javdekar Yash One ,Hinjawadi,Pune West,No,29/05/2019,Sold Out
391,P52100006160,Kolte Patil Developers,Kolte Patil Three Jewels,Kondhwa Budruk,Pune South,No,30/05/2019,Sold Out
392,"P52100016567,P52100027893",Kolte Patil Developers,Kolte Patil Centria,Undri,Pune South,No,29/05/2019,Sold Out
